City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Takhtamygda,RU,54.1,123.5667,68.23,87,100,3.31,light rain
114,Cidreira,BR,-30.1811,-50.2056,61.39,97,100,15.05,overcast clouds
115,Moquegua,PE,-17.1956,-70.9353,62.64,27,30,2.71,scattered clouds
116,Tolmachevo,RU,54.9824,82.7363,62.58,77,0,2.24,clear sky
117,Namibe,AO,-15.1961,12.1522,65.77,80,4,5.06,clear sky
118,Merauke,ID,-8.4667,140.3333,77.86,71,96,14.85,overcast clouds
119,Kavaratti,IN,10.5669,72.642,82.13,77,88,20.56,overcast clouds
120,Emerald,AU,-23.5333,148.1667,61.34,49,0,13.2,clear sky
121,Araouane,ML,18.9048,-3.5265,95.43,24,3,9.66,clear sky
122,Uruzgan,AF,32.8333,66.0,73.94,17,1,4.85,clear sky
123,Yar-Sale,RU,66.8333,70.8333,57.07,61,100,7.72,overcast clouds
124,Padang,ID,-0.9492,100.3543,80.65,82,100,5.93,overcast clouds
125,Maniitsoq,GL,65.4167,-52.9,45.64,71,0,8.66,clear sky
126,Chokwe,MZ,-24.5333,32.9833,60.84,78,1,3.29,clear sky
127,Houma,US,29.5958,-90.7195,80.01,92,40,0.0,scattered clouds
128,Novobirilyussy,RU,56.9514,90.6661,58.03,63,30,4.05,scattered clouds
129,Harper,LR,4.375,-7.7169,75.04,81,96,7.54,overcast clouds
130,Ileza,RU,61.0533,43.9002,57.22,89,100,3.0,overcast clouds
131,Kirakira,SB,-10.4544,161.9205,82.22,76,100,7.2,overcast clouds
132,Mao,ES,39.8885,4.2658,72.16,88,0,4.61,clear sky
133,Fairbanks,US,64.8378,-147.7164,69.76,35,75,11.5,smoke
134,Tepetitlan,MX,19.6333,-99.9167,57.58,93,98,1.5,light rain
135,Dikson,RU,73.5069,80.5464,43.23,76,11,10.04,few clouds
136,East London,ZA,-33.0153,27.9116,58.78,69,1,10.98,clear sky
137,Husavik,IS,66.0449,-17.3389,45.77,89,32,2.66,scattered clouds
138,Wad Rawah,SD,15.1603,33.1397,79.0,67,97,14.32,overcast clouds
139,Kismayo,SO,-0.3582,42.5454,75.25,86,88,18.05,light rain
140,Kamenka,RU,51.3223,42.7678,56.01,96,0,11.21,clear sky
141,Seymchan,RU,62.8833,152.4333,76.55,42,45,2.95,scattered clouds
142,Asfi,MA,32.2994,-9.2372,69.42,91,98,10.31,overcast clouds
143,Dudinka,RU,69.4058,86.1778,56.62,68,100,9.66,overcast clouds
144,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,81,75,19.57,broken clouds
145,Longyearbyen,SJ,78.2186,15.6401,51.64,76,75,18.41,broken clouds
146,Magdagachi,RU,53.45,125.8,74.48,60,97,5.53,overcast clouds
147,Saint-Francois,FR,46.4154,3.9054,65.68,88,0,0.0,clear sky
148,Khatanga,RU,71.9667,102.5,51.78,59,89,6.13,overcast clouds
149,Necochea,AR,-38.5473,-58.7368,51.21,95,100,8.99,light rain
150,Treinta Y Tres,UY,-33.2333,-54.3833,59.65,99,100,8.63,overcast clouds
151,Balagansk,RU,54.0103,103.0544,60.24,75,17,6.02,few clouds
152,Churapcha,RU,62.0025,132.4325,75.97,69,13,4.21,light rain
153,Kenai,US,60.5544,-151.2583,67.03,76,20,9.22,few clouds
154,Leirvik,NO,59.7798,5.5005,52.63,72,0,15.61,clear sky
155,Cayenne,GF,4.9333,-52.3333,82.09,1,0,1.14,clear sky
156,Te Anau,NZ,-45.4167,167.7167,37.47,98,100,0.49,light rain
157,Bima,ID,-8.4667,118.7167,81.81,68,17,5.55,few clouds
158,Ewa Beach,US,21.3156,-158.0072,85.95,59,75,19.57,broken clouds
159,Goderich,CA,43.7501,-81.7165,64.9,88,0,4.61,clear sky
160,Maningrida,AU,-12.0667,134.2667,74.52,51,52,15.01,broken clouds
161,Stodolishche,RU,54.1859,32.6492,51.01,95,67,6.26,broken clouds
162,Clyde River,CA,70.4692,-68.5914,43.03,81,0,6.91,clear sky
163,Dongsheng,CN,39.8161,109.9776,74.41,59,62,7.63,broken clouds
164,Lebu,CL,-37.6167,-73.65,42.28,89,100,5.68,light rain
165,Esik,KZ,43.3552,77.4525,62.02,29,5,4.63,clear sky
166,Kurilsk,RU,45.2333,147.8833,57.42,77,28,4.5,scattered clouds
167,Ahipara,NZ,-35.1667,173.1667,58.64,62,99,8.3,overcast clouds
