City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
383,Bougouni,ML,74.75,light rain,11.417,-7.479,Non Stop
384,Pontianak,ID,82.38,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
385,Mirnyy,RU,77.23,overcast clouds,62.5353,113.9611,квартира
386,Tahoua,NE,88.56,clear sky,14.8888,5.2692,Bungalows Guesthouse
387,Gushikawa,JP,87.8,few clouds,26.3544,127.8686,Kirari Guest House
388,Amalapuram,IN,79.59,overcast clouds,16.5833,82.0167,swayamprabha service apartments
389,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
390,Portland,US,87.62,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
394,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
396,Belaya Gora,RU,70.34,scattered clouds,68.5333,146.4167,
397,Wewak,PG,81.91,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
399,Bairiki,KI,87.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
400,Progreso,MX,88.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
401,Natal,BR,77.22,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
403,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
405,Kapit,MY,80.96,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
406,Chapada Dos Guimaraes,BR,71.26,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
407,Nishihara,JP,87.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
410,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
413,Dali,CN,71.64,few clouds,25.7,100.1833,Dali Travelling With Hostel
414,Pochutla,MX,75.38,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
415,Sao Jose Da Coroa Grande,BR,74.07,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
418,Mitsamiouli,KM,76.93,clear sky,-11.3847,43.2844,Foyer ADM
420,Jalu,LY,75.38,clear sky,29.0331,21.5482,صاحبة الفخامة
421,Shenjiamen,CN,80.2,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
423,Iracoubo,GF,77.2,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
424,Erzin,TR,73.17,clear sky,36.9559,36.2,Artemis Otel
427,Corinto,GR,79.41,clear sky,37.9407,22.9573,Ephira Hotel
431,Hasaki,JP,82.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
432,San Carlos Del Zulia,VE,79.16,clear sky,9.0,-71.9135,Hotel El Manantial
435,Saint Anthony,US,81.03,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
436,Suihua,CN,72.01,overcast clouds,46.6406,126.9969,Water Resources Bureau Hostel
437,Kankon,IN,78.6,overcast clouds,15.0167,74.0167,Palolem Beach Resort
438,Hurricane,US,88.27,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
439,Samarai,PG,76.96,overcast clouds,-10.6167,150.6667,Nuli Sapi
442,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
443,Trinidad,BO,79.61,light rain,-14.8333,-64.9,Hotel Piesta
444,Leo,BF,74.71,scattered clouds,11.1,-2.1,Hotel Sissilis
445,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
446,Ugoofaaru,MV,83.01,overcast clouds,5.6667,73.0,Ungoofaaru Inn
